time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-07T09:36:44.257Z,31.66331812,-104.3533553,6.260107422,3.7,ml,42,57,0.067457223,0.2,tx,tx2023epmt,2023-03-19T18:04:51.462Z,"56 km S of Whites City, New Mexico",earthquake,0.745283305,0.828726299,0.1,27,reviewed,tx,tx
2023-03-07T08:47:42.281Z,7.6219,126.2112,10,5.6,mww,93,44,0.833,0.94,us,us7000jhuv,2023-03-26T05:30:32.741Z,"9 km ENE of Bantacan, Philippines",earthquake,6.72,1.85,0.061,26,reviewed,us,us
2023-03-07T06:02:31.362Z,7.504,126.0528,14.878,5.9,mww,122,41,0.638,0.59,us,us7000jhtd,2023-03-26T05:28:37.583Z,"5 km SE of Manat, Philippines",earthquake,6.14,3.045,0.059,28,reviewed,us,us
2023-03-06T21:00:01.240Z,-20.7765,-178.3654,534.104,5.8,mww,238,14,2.981,0.68,us,us7000jhqt,2023-03-23T02:29:07.015Z,Fiji region,earthquake,5.84,3.096,0.071,19,reviewed,us,us
2023-03-06T02:59:36.188Z,53.8626,-163.9123,44.468,4.3,mwr,93,153,0.812,0.65,us,us7000jhk3,2023-03-22T21:58:19.040Z,"Unimak Island region, Alaska",earthquake,4.58,6.423,0.075,17,reviewed,us,us
2023-03-05T22:21:34.277Z,-55.7253,147.3469,10,5.8,mww,111,51,6.765,0.73,us,us7000jhir,2023-03-23T02:36:49.143Z,west of Macquarie Island,earthquake,9.94,1.748,0.056,31,reviewed,us,us
2023-03-05T20:43:02.677Z,7.5245,126.176,10,5.4,mww,149,33,0.745,0.69,us,us7000jhi6,2023-03-26T05:32:28.263Z,,earthquake,5.68,1.765,0.069,20,reviewed,us,us
2023-03-04T22:49:44.315Z,51.4376,-177.5034,33.965,3.6,ml,19,211,0.365,0.19,us,us7000jheu,2023-03-13T00:10:50.040Z,"77 km SW of Adak, Alaska",earthquake,4.89,10.521,0.105,12,reviewed,us,us
2023-03-04T10:31:43.009Z,51.6303,-173.7728,58.438,4.2,mb,133,135,1.383,0.56,us,us7000jhbm,2023-03-30T08:18:09.040Z,"69 km SSE of Atka, Alaska",earthquake,7.97,7.446,0.049,115,reviewed,us,us
2023-03-04T06:41:22.998Z,-29.5025,-178.7966,209.976,6.9,mww,345,23,0.8,0.61,us,us7000jh99,2023-03-16T12:49:26.743Z,"Kermadec Islands, New Zealand",earthquake,10.07,3.472,0.045,47,reviewed,us,us
2023-03-04T06:35:48.750Z,19.43816667,-155.2368333,27.76,3.17,ml,45,68,,0.12,hv,hv73333112,2023-03-16T12:42:18.651Z,"0 km SSW of Volcano, Hawaii",earthquake,0.6,0.37,0.17834447,27,reviewed,hv,hv
2023-03-04T04:10:21.235Z,51.6009,178.7344,76.699,4.2,mb,58,145,0.348,0.7,us,us7000jh8s,2023-03-24T00:41:19.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,4.48,4.601,0.089,35,reviewed,us,us
2023-03-03T19:00:26.406Z,-30.8965,-13.4215,10,5.5,mww,186,46,6.224,0.61,us,us7000jh5j,2023-03-29T22:16:09.634Z,southern Mid-Atlantic Ridge,earthquake,9.87,1.78,0.071,19,reviewed,us,us
2023-03-03T13:22:20.680Z,19.36316667,-155.2111667,29.83,3.06,ml,43,93,,0.12,hv,hv73332782,2023-03-07T11:12:12.938Z,"9 km SSE of Volcano, Hawaii",earthquake,0.57,0.46,0.17251476,27,reviewed,hv,hv
2023-03-03T08:33:34.768Z,58.2538,-156.0123,150.803,4.4,mb,109,87,0.235,0.47,us,us7000jgzr,2023-03-15T13:03:37.040Z,"61 km SE of King Salmon, Alaska",earthquake,3.88,3.306,0.107,25,reviewed,us,us
2023-03-03T04:53:55.713Z,-59.403,-17.9994,10,5.9,mww,57,80,11.331,0.97,us,us7000jgzb,2023-03-23T23:53:36.352Z,east of the South Sandwich Islands,earthquake,6.38,1.77,0.059,28,reviewed,us,us
2023-03-02T23:56:29.939Z,-15.0468,166.6219,10,5.4,mb,21,48,0.688,0.34,us,us7000jii1,2023-03-13T05:25:11.035Z,"48 km W of Port-Olry, Vanuatu",earthquake,7.76,1.858,0.221,7,reviewed,us,us
2023-03-02T21:16:50.530Z,38.7876667,-122.7821667,2.72,3.59,mw,98,26,0.007106,0.06,nc,nc73854486,2023-03-19T12:54:57.942Z,"2km WNW of The Geysers, CA",earthquake,0.09,0.14,,6,reviewed,nc,nc
2023-03-02T18:11:07.084Z,-14.9061,166.672,10,5.2,mb,68,40,0.743,0.8,us,us7000jgv8,2023-03-28T18:54:38.951Z,"45 km WNW of Port-Olry, Vanuatu",earthquake,6.12,1.781,0.08,52,reviewed,us,us
2023-03-02T18:04:29.747Z,-15.3592,166.3784,10,6.4,mww,70,45,5.534,1.34,us,usd000j5jt,2023-03-27T15:24:26.912Z,,earthquake,5.11,1.717,0.039,63,reviewed,us,us
2023-03-02T06:56:28.708Z,63.8634,-153.218,10.2,4.7,mb,,,,0.95,ak,ak0232szou3r,2023-03-18T09:17:19.040Z,"44 km W of Lake Minchumina, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-03-02T04:40:43.163Z,16.3343,-94.2811,95.315,5.7,mww,146,55,0.949,0.81,us,us7000jgr1,2023-03-22T05:07:05.946Z,"10 km WSW of San Pedro Tapanatepec, Mexico",earthquake,7.04,4.564,0.031,97,reviewed,us,us
2023-03-01T19:28:07.346Z,14.1495,146.8086,10.404,5.5,mww,103,44,1.965,0.9,us,us7000jgmu,2023-03-29T19:38:13.100Z,"Rota region, Northern Mariana Islands",earthquake,8.73,3.778,0.066,22,reviewed,us,us
2023-03-01T11:35:43.760Z,48.6185,-123.0396667,14.23,2.73,ml,20,126,0.01791,0.17,uw,uw61900332,2023-03-17T15:24:25.385Z,"7 km WNW of Orcas, Washington",earthquake,0.35,0.44,0.180015983,20,reviewed,uw,uw
2023-03-01T06:04:02.265Z,66.3394,-154.652,8.9,3.7,ml,,,,0.57,ak,ak0232rbuag8,2023-03-30T10:40:10.040Z,"36 km NNW of Hughes, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-03-01T05:57:59.195Z,59.0067,-151.168,24.2,4.5,mb,,,,0.65,ak,ak0232rbkc00,2023-03-30T10:45:37.132Z,"53 km SE of Port Graham, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2023-03-01T05:36:14.834Z,-4.8255,149.5041,600.933,6.6,mww,156,11,2.725,0.76,us,us7000jgfd,2023-03-30T10:34:14.661Z,"106 km NW of Kimbe, Papua New Guinea",earthquake,7.68,1.992,0.059,28,reviewed,us,us
2023-02-28T23:26:08.542Z,31.61345334,-103.9891287,8.483850098,4.1,ml,45,50,0.017525607,0.1,tx,tx2023edto,2023-03-21T04:18:49.425Z,"37 km NNW of Toyah, Texas",earthquake,0.339156677,0.366288038,0.2,29,reviewed,tx,tx
2023-02-28T13:30:51.690Z,35.6128333,-117.4165,8.15,3.56,ml,37,41,0.09739,0.15,ci,ci40419496,2023-03-02T12:35:13.585Z,"17km SSW of Trona, CA",earthquake,0.15,0.53,0.187,120,reviewed,ci,ci
2023-02-28T12:07:30.875Z,6.6808,60.2231,10,5.4,mww,128,34,12.233,0.55,us,us7000jg89,2023-03-30T13:17:41.686Z,Carlsberg Ridge,earthquake,8.46,1.841,0.052,35,reviewed,us,us
2023-02-27T09:50:42.986Z,-11.308,166.2788,84.73,5.1,mww,136,19,4.212,0.49,us,us6000jrwn,2023-03-30T07:50:25.233Z,"83 km SE of Lata, Solomon Islands",earthquake,7.46,4.576,0.086,13,reviewed,us,us
2023-02-27T09:32:57.242Z,57.297,-154.2645,27.2,4.6,mb,,,,0.84,ak,ak0232o2q0g4,2023-03-30T07:32:37.040Z,"32 km SSW of Larsen Bay, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2023-02-27T06:40:59.657Z,-20.5478,-178.3543,550.239,5.6,mww,152,33,3.011,0.56,us,us6000jrvn,2023-03-30T13:34:10.431Z,Fiji region,earthquake,10.12,7.122,0.089,12,reviewed,us,us
2023-02-27T01:26:05.421Z,-1.6029,120.254,34.76,5.5,mww,206,23,2.578,0.66,us,us6000jrtm,2023-03-17T03:19:15.993Z,"60 km WSW of Poso, Indonesia",earthquake,5.5,3.519,0.06,27,reviewed,us,us
2023-02-26T13:53:18.646Z,51.5219,-178.2995,49.194,5,mb,73,139,0.342,0.79,us,us6000jrqy,2023-03-11T14:03:23.284Z,"121 km WSW of Adak, Alaska",earthquake,4.75,5.131,0.028,422,reviewed,us,us
2023-02-26T13:53:17.356Z,51.4632,-178.2961,42.7,5,mb,,,,0.46,ak,ak0232mhotav,2023-03-04T01:43:53.680Z,"123 km WSW of Adak, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2023-02-25T21:24:48.550Z,-6.0978,149.8103,39.515,6.2,mww,115,29,3.014,0.78,us,us6000jrlp,2023-03-07T06:35:23.020Z,"31 km ENE of Kandrian, Papua New Guinea",earthquake,7.78,2.323,0.046,46,reviewed,us,us
2023-02-25T19:56:37.310Z,53.5108,-163.2097,33.208,4.4,mb,50,190,1.252,0.75,us,us6000jrmy,2023-03-03T23:14:57.519Z,"Unimak Island region, Alaska",earthquake,4.49,6.492,0.114,22,reviewed,us,us
2023-02-25T18:12:15.503Z,54.3861,-159.6468,26.825,4.4,mb,105,79,1.496,0.57,us,us6000jrky,2023-03-16T19:02:43.040Z,"119 km SSE of Sand Point, Alaska",earthquake,5.52,5.328,0.096,37,reviewed,us,us
2023-02-25T13:27:43.376Z,42.8417,144.9973,51.762,6,mww,146,32,1.593,0.64,us,us6000jrjl,2023-03-19T21:01:37.407Z,"52 km ESE of Kushiro, Japan",earthquake,7.59,1.443,0.052,35,reviewed,us,us
2023-02-24T22:00:44.352Z,59.0284,-151.1926,41.7,4.7,mwr,,,,0.86,ak,ak0232jbnptv,2023-03-07T05:52:11.299Z,"51 km SE of Port Graham, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-02-24T21:53:17.069Z,55.0733,-155.5636,9.6,3.6,ml,,,,0.69,ak,ak0232jbdl34,2023-03-10T02:57:58.040Z,"224 km SE of Chignik, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2023-02-24T17:16:29.490Z,58.231,-155.1899,2.6,4.3,mwr,,,,0.69,ak,ak0232j8ry4u,2023-03-15T18:16:39.040Z,"85 km NNW of Karluk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2023-02-24T12:51:14.370Z,19.21816667,-155.387,30.03,3.33,ml,46,155,,0.13,hv,hv73329947,2023-03-05T10:44:41.529Z,"9 km E of P?hala, Hawaii",earthquake,0.45,0.53,0.213600731,28,reviewed,hv,hv
